"file","use_client","calls_useLanguage","import_named","import_default","from_LanguageContext","from_languagecontext_bad"
"D:\CBTC-FINAL\cbtc-lms\app\about\page.tsx","True","True","True","False","True","True"
"D:\CBTC-FINAL\cbtc-lms\app\admin\ingestion\page.tsx","True","False","False","False","True","True"
"D:\CBTC-FINAL\cbtc-lms\app\admin\layout.tsx","True","False","False","False","True","True"
"D:\CBTC-FINAL\cbtc-lms\app\cart\page.tsx","True","True","True","False","True","True"
"D:\CBTC-FINAL\cbtc-lms\app\checkout\page.tsx","True","True","True","False","True","True"
"D:\CBTC-FINAL\cbtc-lms\app\contact\page.tsx","True","True","True","False","True","True"
"D:\CBTC-FINAL\cbtc-lms\app\contexts\LanguageContext.tsx","True","True","False","False","False","False"
"D:\CBTC-FINAL\cbtc-lms\app\courses\[id]\coursedetailclient.tsx","True","False","True","False","False","False"
"D:\CBTC-FINAL\cbtc-lms\app\courses\page.tsx","True","True","True","False","False","False"
"D:\CBTC-FINAL\cbtc-lms\app\diagnostic\page.tsx","True","True","True","False","True","True"
"D:\CBTC-FINAL\cbtc-lms\app\layout.tsx","False","False","False","False","True","True"
"D:\CBTC-FINAL\cbtc-lms\app\login\page.tsx","True","False","False","False","True","True"
"D:\CBTC-FINAL\cbtc-lms\app\page.tsx","True","True","True","False","False","False"
"D:\CBTC-FINAL\cbtc-lms\app\register\page.tsx","True","False","False","False","True","True"
"D:\CBTC-FINAL\cbtc-lms\components\bilingualtext.tsx","True","True","True","False","True","True"
"D:\CBTC-FINAL\cbtc-lms\components\dashboard\progressforecast.tsx","True","True","True","False","True","True"
"D:\CBTC-FINAL\cbtc-lms\components\debug\statedebugger.tsx","True","True","True","False","True","True"
"D:\CBTC-FINAL\cbtc-lms\components\features\progressforecasting.tsx","True","False","True","False","True","True"
"D:\CBTC-FINAL\cbtc-lms\components\layout\navbar.tsx","True","True","True","False","False","False"
"D:\CBTC-FINAL\cbtc-lms\lib\scriptdoctor.ts","False","False","False","False","True","True"
"D:\CBTC-FINAL\cbtc-lms\scripts\buildrepairs.js","False","False","False","False","True","True"
